Time,Values[Absorbance_0.59],Values[Absorbance_1.53],Values[Absorbance_6.6],Values[Absorbance_500],[sGC{[NO]=0.59}],[6C-sGC-NO{[NO]=0.59}],[5C-sGC-NO{[NO]=0.59}],[NO{[NO]=0.59}],[sGC{[NO]=1.53}],[6C-sGC-NO{[NO]=1.53}],[5C-sGC-NO{[NO]=1.53}],[NO{[NO]=1.53}],[sGC{[NO]=6.6}],[6C-sGC-NO{[NO]=6.6}],[5C-sGC-NO{[NO]=6.6}],[NO{[NO]=6.6}],[sGC{[NO]=500}],[6C-sGC-NO{[NO]=500}],[5C-sGC-NO{[NO]=500}],[NO{[NO]=500}]
0.00010587,0.0580183,0.0576066,0.0554916,0.0308846,4.65489e-07,4.51118e-09,4.65105e-14,5.85489e-07,4.5839e-07,1.16092e-08,3.10696e-13,1.51839e-06,4.21926e-07,4.80686e-08,5.62219e-12,6.55193e-06,1.29382e-10,4.62723e-07,7.14716e-09,0.00049953
0.000108493,0.0580119,0.0575902,0.0554265,0.0308792,4.65378e-07,4.62196e-09,4.88306e-14,5.85378e-07,4.58108e-07,1.18921e-08,3.26155e-13,1.51811e-06,4.20803e-07,4.91907e-08,5.89803e-12,6.5508e-06,1.05612e-10,4.62547e-07,7.3472e-09,0.00049953
0.000111117,0.0580055,0.0575738,0.0553616,0.0308741,4.65267e-07,4.7327e-09,5.12066e-14,5.85267e-07,4.57825e-07,1.21747e-08,3.41982e-13,1.51782e-06,4.19684e-07,5.03096e-08,6.18018e-12,6.54968e-06,8.62115e-11,4.62367e-07,7.54717e-09,0.00049953
0.00011374,0.0579991,0.0575575,0.0552968,0.0308691,4.65157e-07,4.84338e-09,5.36384e-14,5.85157e-07,4.57543e-07,1.24571e-08,3.58178e-13,1.51754e-06,4.18568e-07,5.14253e-08,6.46862e-12,6.54857e-06,7.03766e-11,4.62183e-07,7.74706e-09,0.00049953
0.000116363,0.0579927,0.0575411,0.0552323,0.0308644,4.65046e-07,4.95402e-09,5.61259e-14,5.85046e-07,4.5726e-07,1.27393e-08,3.74743e-13,1.51726e-06,4.17455e-07,5.25379e-08,6.76333e-12,6.54746e-06,5.74522e-11,4.61996e-07,7.94687e-09,0.00049953
0.000118986,0.0579862,0.0575247,0.0551679,0.0308598,4.64935e-07,5.06462e-09,5.86691e-14,5.84935e-07,4.56978e-07,1.30212e-08,3.91674e-13,1.51698e-06,4.16346e-07,5.36473e-08,7.06428e-12,6.54635e-06,4.69033e-11,4.61806e-07,8.1466e-09,0.00049953
0.000121609,0.0579798,0.0575084,0.0551037,0.0308553,4.64825e-07,5.17516e-09,6.12679e-14,5.84825e-07,4.56697e-07,1.3303e-08,4.08974e-13,1.5167e-06,4.15239e-07,5.47536e-08,7.37146e-12,6.54524e-06,3.82934e-11,4.61615e-07,8.34624e-09,0.00049953
0.000124232,0.0579734,0.0574921,0.0550397,0.0308509,4.64714e-07,5.28566e-09,6.39223e-14,5.84714e-07,4.56415e-07,1.35845e-08,4.2664e-13,1.51642e-06,4.14136e-07,5.58567e-08,7.68485e-12,6.54414e-06,3.12659e-11,4.61423e-07,8.54581e-09,0.00049953
0.000126855,0.057967,0.0574758,0.0549759,0.0308466,4.64604e-07,5.39611e-09,6.66323e-14,5.84604e-07,4.56134e-07,1.38657e-08,4.44672e-13,1.51613e-06,4.13035e-07,5.69567e-08,8.00443e-12,6.54304e-06,2.55301e-11,4.61229e-07,8.74529e-09,0.00049953
0.000129478,0.0579606,0.0574595,0.0549122,0.0308423,4.64493e-07,5.50652e-09,6.93978e-14,5.84493e-07,4.55853e-07,1.41468e-08,4.6307e-13,1.51585e-06,4.11938e-07,5.80536e-08,8.33017e-12,6.54194e-06,2.08486e-11,4.61034e-07,8.94468e-09,0.00049953
